dialogue,label,character_name,character_group
let us begin...,ACTION,ACTION,ACTION
Final Fantasy XIII-2,ACTION,ACTION,ACTION
"Against a black background, a voice familiar to any FFXIII player is heard narrating...",ACTION,ACTION,ACTION
That time was lost; yet time continued onward.,CHARACTER,Lightning,female
"Scenes of a mysterious location and a throne are shown as a bell tolls, a total of thirteen times throughout the sequence.",ACTION,ACTION,ACTION
Divine Etro. Go peacefully to your rest. I will stand guard over your legacy.,CHARACTER,Lightning,female
"She kneels in front of the throne, then rises and exits to a balcony area.",ACTION,ACTION,ACTION
This endless realm is awash with sadness. Life and death lose all meaning under the rolling waves of chaos. (The scene pans out to show a distant shore.) Valhalla. The currents of time do not touch its shores.,CHARACTER,Lightning,female
The screen fades to white and a scene begins with a young man sliding through some sort of portal.,ACTION,ACTION,ACTION
"In this world of lost moments, I begin my life anew.",CHARACTER,Lightning,female
"Lightning is shown again and then, in a new scene, a man is shown lying the body of a teenaged girl to rest in the water of Valhalla. The subtitle says that the man's name is Caius.",ACTION,ACTION,ACTION
"This eternity--it was never your desire. Is that not so, Yeul?",CHARACTER,Caius,male
"There is a flash and a scene is shown of the crystallization of Cocoon, the ending of Final Fantasy XIII. It flashes back to Valhalla. Caius grunts and a large number of monsters emerge from the water. He chuckles and Lightning is shown with eidolons.",ACTION,ACTION,ACTION
"Warrior goddess. (He draws a sword which features a large glowing orb of energy.) Now we cross swords. (Lightning draws her own gunblade with a flash of feathers. Caius slashes his sword and leaps into the air. A fight begins between Caius's and Lightning's monsters.) Lose yourself in battle, and rejoice!",CHARACTER,Caius,male
"He sends a jet of energy at the Shiva Sisters, who attempt to freeze him in ice.",ACTION,ACTION,ACTION
Embrace the terror. (He sends the Shiva Sisters flying and Lightning rides forth on Odin.),CHARACTER,Caius,male
(chuckles and sends out another beam of energy) Husk of the wandering comet... I summon thee!,CHARACTER,Caius,male
