dialogue,label,character_name,character_group
Let us continue then our tale from before.,CHARACTER,Storyteller,male
Let us sing more then of the champion of the gods.,CHARACTER,Storyteller,male
Am I interrupting something?,CHARACTER,Zagreus,male
Anyone seen a Satyr sack?,CHARACTER,Zagreus,male
You know you're tresspassing on private property!,CHARACTER,Zagreus,male
What are you doing to this place?,CHARACTER,Zagreus,male
"All right, break it up!",CHARACTER,Zagreus,male
Look what you've done to this place!,CHARACTER,Zagreus,male
This place is a mess!,CHARACTER,Zagreus,male
Found one of their dens.,CHARACTER,Zagreus,male
It's one of their dens.,CHARACTER,Zagreus,male
"Dead end, huh?",CHARACTER,Zagreus,male
Aah!,CHARACTER,Zagreus,male
Whoa!,CHARACTER,Zagreus,male
Hey!,CHARACTER,Zagreus,male
Hello!,CHARACTER,Zagreus,male
Hi!,CHARACTER,Zagreus,male
Tsk.,CHARACTER,Zagreus,male
You!,CHARACTER,Zagreus,male
Wha-?,CHARACTER,Zagreus,male
Nrgh!,CHARACTER,Zagreus,male
Gah.,CHARACTER,Zagreus,male
Stand aside.,CHARACTER,Zagreus,male
Damn you.,CHARACTER,Zagreus,male
You want to die again?,CHARACTER,Zagreus,male
Out of my way.,CHARACTER,Zagreus,male
Come try me.,CHARACTER,Zagreus,male
"Stand down, or suffer.",CHARACTER,Zagreus,male
"Come on, then.",CHARACTER,Zagreus,male
How do you do.,CHARACTER,Zagreus,male
You again.,CHARACTER,Zagreus,male
What now.,CHARACTER,Zagreus,male
Look who.,CHARACTER,Zagreus,male
Hello mates.,CHARACTER,Zagreus,male
Surprise.,CHARACTER,Zagreus,male
Come and get it.,CHARACTER,Zagreus,male
You wretches.,CHARACTER,Zagreus,male
What is it now.,CHARACTER,Zagreus,male
Oh hello.,CHARACTER,Zagreus,male
May I help you?,CHARACTER,Zagreus,male
Want to fight?,CHARACTER,Zagreus,male
Do not mess with me right now.,CHARACTER,Zagreus,male
Am I interrupting something?,CHARACTER,Zagreus,male
"Now let's be reasonable, no...?",CHARACTER,Zagreus,male
You can't stop me.,CHARACTER,Zagreus,male
Come.,CHARACTER,Zagreus,male
All right who's next?,CHARACTER,Zagreus,male
More trouble.,CHARACTER,Zagreus,male
Hi there!,CHARACTER,Zagreus,male
Who's first?,CHARACTER,Zagreus,male
Think you can stop me?,CHARACTER,Zagreus,male
Ready for me?,CHARACTER,Zagreus,male
Don't get in my way.,CHARACTER,Zagreus,male
Coming through!,CHARACTER,Zagreus,male
Fight me!,CHARACTER,Zagreus,male
Who dies first?,CHARACTER,Zagreus,male
Here I am.,CHARACTER,Zagreus,male
"Come on, let's fight.",CHARACTER,Zagreus,male
Let's fight!,CHARACTER,Zagreus,male
Over here!,CHARACTER,Zagreus,male
Blasted wretches.,CHARACTER,Zagreus,male
Come on!,CHARACTER,Zagreus,male
"Come on, you!",CHARACTER,Zagreus,male
I'll be leaving shortly.,CHARACTER,Zagreus,male
I'll destroy you.,CHARACTER,Zagreus,male
Time to fight.,CHARACTER,Zagreus,male
Let's see how quickly I can slay you all.,CHARACTER,Zagreus,male
You should've listened.,CHARACTER,Zagreus,male
Don't cross me again.,CHARACTER,Zagreus,male
You had it coming.,CHARACTER,Zagreus,male
You can't stop me.,CHARACTER,Zagreus,male
Stupid fools.,CHARACTER,Zagreus,male
You shouldn'tve crossed me.,CHARACTER,Zagreus,male
Pathetic.,CHARACTER,Zagreus,male
Nice meeting you.,CHARACTER,Zagreus,male
Enough.,CHARACTER,Zagreus,male
Always a pleasure.,CHARACTER,Zagreus,male
Have a nice death.,CHARACTER,Zagreus,male
So much for them.,CHARACTER,Zagreus,male
Satisfied?,CHARACTER,Zagreus,male
Suffer in darkness.,CHARACTER,Zagreus,male
Will that be all?,CHARACTER,Zagreus,male
Good-bye for now.,CHARACTER,Zagreus,male
Good riddance.,CHARACTER,Zagreus,male
"That's settled, then.",CHARACTER,Zagreus,male
I warned you.,CHARACTER,Zagreus,male
Didn't think so.,CHARACTER,Zagreus,male
Was that really necessary?,CHARACTER,Zagreus,male
What did I tell you.,CHARACTER,Zagreus,male
Simple.,CHARACTER,Zagreus,male
That's everyone.,CHARACTER,Zagreus,male
Problem solved.,CHARACTER,Zagreus,male
Bye now.,CHARACTER,Zagreus,male
Saved some for everyone.,CHARACTER,Zagreus,male
You had no chance.,CHARACTER,Zagreus,male
No problem.,CHARACTER,Zagreus,male
Enough.,CHARACTER,Zagreus,male
Pardon me.,CHARACTER,Zagreus,male
Dead to the last.,CHARACTER,Zagreus,male
That's the last of them.,CHARACTER,Zagreus,male
Last one standing.,CHARACTER,Zagreus,male
That'll do.,CHARACTER,Zagreus,male
That'll do it.,CHARACTER,Zagreus,male
They're gone.,CHARACTER,Zagreus,male
Enjoy your death.,CHARACTER,Zagreus,male
They're finished.,CHARACTER,Zagreus,male
Got them.,CHARACTER,Zagreus,male
"Time to go, then.",CHARACTER,Zagreus,male
Destroyed as promised.,CHARACTER,Zagreus,male
Their time's up.,CHARACTER,Zagreus,male
Short work.,CHARACTER,Zagreus,male
Well this is awkward.,CHARACTER,Skelly,male
"Hey, nice.",CHARACTER,Skelly,male
You did it!,CHARACTER,Skelly,male
Nice work there pal.,CHARACTER,Skelly,male
Well my work here is done.,CHARACTER,Skelly,male
"You showed them, pal!",CHARACTER,Skelly,male
Well that's a wrap.,CHARACTER,Skelly,male
Done and done!,CHARACTER,Skelly,male
Well see you!,CHARACTER,Skelly,male
Well better go!,CHARACTER,Skelly,male
How am I supposed to get back?,CHARACTER,Skelly,male
You did it!!,CHARACTER,Dusa,female
"Yay, you did it!",CHARACTER,Dusa,female
Woo-hoo!,CHARACTER,Dusa,female
I knew you could do it!,CHARACTER,Dusa,female
"Great work, Prince!",CHARACTER,Dusa,female
Well that was exciting!,CHARACTER,Dusa,female
"Whew, you made it!",CHARACTER,Dusa,female
"All right, this place is clean!",CHARACTER,Dusa,female
"That's one less problem, right?",CHARACTER,Dusa,female
"You showed them, Prince!",CHARACTER,Dusa,female
That's what you get!!,CHARACTER,Dusa,female
Don't mess with Zagreus!!,CHARACTER,Dusa,female
"Hah, take that!",CHARACTER,Dusa,female
That was close.,CHARACTER,Zagreus,male
I should keep going.,CHARACTER,Zagreus,male
I should press on.,CHARACTER,Zagreus,male
I should go.,CHARACTER,Zagreus,male
