dialogue,label,character_name,character_group
DATAPOINT: Log: Connor Chasson (1),ACTION,ACTION,ACTION
"... I mean, seriously, ""Record our thoughts for posterity""? Great idea, Director Evans. Like I haven't done enough for posterity already? Like I wouldn't be... here... like this... if not for posterity? I'm done with posterity. Posterity can go... ",CHARACTER,Connor Chasson,male
DATAPOINT: Log: Skylar Rivera,ACTION,ACTION,ACTION
And Machu Picchu. Always wanted to see that. Never did. Why didn't I go with Owen when he asked? Stupid. I should have gone. Well.,CHARACTER,Skylar Rivera,female
DATAPOINT: Log: Ella Pontes,ACTION,ACTION,ACTION
"And maybe that's all I need, you know? That moment the door opened and you were standing there, wearing that retro-weave dress, and the way you smiled... I had to look away or you were going to see. On my face. What had just... blossomed inside me, you know? Ha. It was just an instant, but I knew. I knew we'd be forever.",CHARACTER,Ella Pontes,female
DATAPOINT: Log: Jackson Frye,ACTION,ACTION,ACTION
DATAPOINT: Log: Mia Sayied,ACTION,ACTION,ACTION
"... the earth shall soon dissolve like snow... the sun forbear to shine... but God, who called me here below... will be forever mine.",CHARACTER,Mia Sayied,female
DATAPOINT: Log: Connor Chasson (2),ACTION,ACTION,ACTION
"Well, happy new year, dear diary. Can you believe we actually celebrated last night? Well, we did. Kind of. Director Evans invited everyone to gather in the community room. Don't know where she got the party hats. That was a ghoulish touch. So there we sit, watching the clock tick down to midnight, and I'm thinking, am I the only one here who gets the symbolism of this? Might've been worth it if Skylar had gotten drunk again, but... I seem to be a mistake she doesn't want to repeat.",CHARACTER,Connor Chasson,male
DATAPOINT: Full Stop,ACTION,ACTION,ACTION
"This datapoint was recorded by a member of Project Zero Dawn after witnessing other members lining up to be euthanized. Not wanting to go out the same way, he decided to shoot himself to death.",ACTION,ACTION,ACTION
This datapoint was recovered by Aloy during an exploration of the ruins of the facility by scanning the Focus of the man who recorded the datapoint.,ACTION,ACTION,ACTION
DATAPOINT: For Director Evans,ACTION,ACTION,ACTION
Director Evans-flash traffic from USRC. Black Quartz encryption. I've routed the message to your holo grid for viewing.,CHARACTER,Skylar Rivera,female
DATAPOINT: R&D/Lab Retooling,ACTION,ACTION,ACTION
DATAPOINT: Entangled Waveforms,ACTION,ACTION,ACTION
"The protocols use poly-phasic entangled waveforms. Quantum encryption, Black Quartz stuff, way beyond military-grade. That's what you demanded, so that's what we delivered.",CHARACTER,Code Expert,male
You don't code something you can't crack. All we need is a back door. Upload the latest service pack update and the problem goes away.,CHARACTER,Ted Faro,male
"You specifically forbid us from leaving anything resembling a back door in code. ""Every protocol to Black Quartz standard."" Your words. Look. If you need me to fudge some projections, it's nothing we haven't done before.",CHARACTER,Code Expert,male
I don't need fudged projections! I need a way to reassert control over the Hartz-Timor swarm!,CHARACTER,Ted Faro,male
