dialogue,label,character_name,character_group
Skyrim opens with an Imperial wagon driving four prisoners down a snowy mountain pass. All are seated and bound; the one dressed in finery is gagged.,ACTION,ACTION,ACTION
"Hey, you. You're finally awake. You were trying to cross the border, right? Walked right into that Imperial ambush, same as us, and that thief over there.",CHARACTER,Ralof,male
"Damn you Stormcloaks. Skyrim was fine until you came along. Empire was nice and lazy. If they hadn't been looking for you, I could've stolen that horse and been half way to Hammerfell. You there. You and me -- we should be here. It's these Stormcloaks the Empire wants.",CHARACTER,Lokir,male
"We're all brothers and sisters in binds now, thief.",CHARACTER,Ralof,male
Shut up back there!,CHARACTER,Imperial Soldier,male
Lokir looks at the gagged man.,ACTION,ACTION,ACTION
And what's wrong with him?,CHARACTER,Lokir,male
"Watch your tongue! You're speaking to Ulfric Stormcloak, the true High King.",CHARACTER,Ralof,male
"Ulfric? The Jarl of Windhelm? You're the leader of the rebellion. But if they captured you... Oh gods, where are they taking us?",CHARACTER,Lokir,male
"I don't know where we're going, but Sovngarde awaits.",CHARACTER,Ralof,male
"No, this can't be happening. This isn't happening.",CHARACTER,Lokir,male
"Hey, what village are you from, horse thief?",CHARACTER,Ralof,male
Why do you care?,CHARACTER,Lokir,male
A Nord's last thoughts should be of home.,CHARACTER,Ralof,male
Rorikstead. I'm...I'm from Rorikstead.,CHARACTER,Lokir,male
They approach the village of Helgen. A soldier calls out to the lead wagon.,ACTION,ACTION,ACTION
"General Tullius, sir! The headsman is waiting!",CHARACTER,Imperial Soldier,male
Good. Let's get this over with.,CHARACTER,Tullius,male
"Shor, Mara, Dibella, Kynareth, Akatosh. Divines, please help me.",CHARACTER,Lokir,male
"Look at him, General Tullius the Military Governor. And it looks like the Thalmor are with him. Damn elves. I bet they had something to do with this. This is Helgen. I used to be sweet on a girl from here. Wonder if Vilod is still making that mead with juniper berries mixed in. Funny...when I was a boy, Imperial walls and towers used to make me feel so safe.",CHARACTER,Ralof,male
A man and son watch the prisoners pull into town.,ACTION,ACTION,ACTION
"Who are they, daddy? Where are they going?",CHARACTER,Haming,male
"You need to go inside, little cub.",CHARACTER,Torolf,male
Why? I want to watch the soldiers.,CHARACTER,Haming,male
Inside the house. Now.,CHARACTER,Torolf,male
The wagon stops near the chopping block.,ACTION,ACTION,ACTION
Whoa.,CHARACTER,Imperial Soldier,male
